id|img|name|price|vat|amount|height|width|depth|weight|describe|cat
1|https://images.obi.pl/product/PL/932x365/631306_1.jpg|Knap Parapet z konglomeratu Perlato Royal 122 cm x 30 cm x 2 cm|118.0|1|77|122.0|30.0|2.0|19.5|Parapet wewnętrzny z konglomeratu w kolorze Perlato Royal, o wymiarach 122 cm x 30 cm x 2 cm, firmy Knap. Przeznaczony do montażu wewnątrz pomieszczeń. Dzięki zastosowaniu wysokiej jakości materiału parapet jest wyjątkowo odporny na zarysowania. Stanowi doskonałą alternatywę dla parapetów marmurowych i z granitu.|budowac
2|https://images.obi.pl/product/PL/932x365/689668_1.jpg,https://images.obi.pl/product/PL/932x365/689668_2.jpg,https://assets.obi.de/skin/a94dcb7/images/blind.gif|Parapet laminowany deska karaibska 30 x 28 x 305 cm|69.99|1|13|2.8|3.05|30.0|16.5|Parapet wewnętrzny laminowany firmy Biuro Styl. Wykonany z płyty wiórowej pokrytej wysokociśnieniowym laminatem dekoracyjnym. Parapet posiada wysoką klasę wytrzymałości, jego klasyczny wygląd podkreśli elegancję pomieszczenia. Ponad to cechuje się łatwością w konserwacji.  Parapet docinany zgodnie z życzeniem klienta. Maksymalna długość: 305 cm|budowac
3|https://images.obi.pl/product/PL/932x365/631309_1.jpg|Knap Parapet z konglomeratu Botticino 92 cm x 30 cm x 2 cm|149.0|1|16|92.0|30.0|2.0|14.5|Parapet wewnętrzny z konglomeratu w kolorze Botticino, o wymiarach 92 cm x 30 cm x 2 cm, firmy Knap. Przeznaczony do montażu wewnątrz pomieszczeń. Dzięki zastosowaniu wysokiej jakości materiału parapet jest wyjątkowo odporny na zarysowania. Stanowi doskonałą alternatywę dla parapetów marmurowych i z granitu.|budowac
4|https://images.obi.pl/product/PL/932x365/631319_1.jpg|Knap Parapet z konglomeratu Arabescato Bianco 152 cm x 30 cm x 2 cm|188.0|1|76|152.0|30.0|2.0|23.5|Parapet wewnętrzny z konglomeratu w kolorze Arabescato Bianco, o wymiarach 152 cm x 30 cm x 2 cm, firmy Knap. Przeznaczony do montażu wewnątrz pomieszczeń. Dzięki zastosowaniu wysokiej jakości materiału parapet jest wyjątkowo odporny na zarysowania. Stanowi doskonałą alternatywę dla parapetów marmurowych i z granitu.|budowac
5|https://images.obi.pl/product/PL/932x365/557770_1.jpg|Parapet wewnętrzny PVC biały, 25 cm x 4,2 cm|96.99|1|84|2.98|25.0|4.2|2.16|Parapet wewnętrzny PVC, w kolorze białym. Charakteryzuje się odpornością na działanie wody, wysoką temperaturę oraz na promieniowanie UV. Powierzchnia pokryta wysokiej jakości folią okleinową jest łatwa do utrzymania w czystości. Grubość: 4,2 cm. Szerokość: 25 cm. Maksymalna długość: 298 cm.|budowac
6|https://images.obi.pl/product/PL/932x365/641424_1.jpg|Nawiewnik okienny ciśnieniowy biały 23x430x21mm|42.99|1|10|||||Nawiewnik okienny ciśnieniowy biały 23x430x21mm Nawiewnik naramowy manualny zapewniaja optymalny przepływ powietrza. Możliwość montażu w stolarce PCV, aluminiowej i drewnianej. Czerpnia posiada siatkę chroniącą przed owadami.|budowac
7|https://images.obi.pl/product/PL/932x365/603350_1.jpg|Parapet wewnętrzny PVC orzech, 156 cm x 25 cm x 4,2 cm|109.0|1|52|156.0|25.0|4.2|3.20|Parapet wewnętrzny PVC, w kolorze orzech. Charakteryzuje się odpornością na działanie wody, wysoką temperaturę oraz na promieniowanie UV. Powierzchnia pokryta wysokiej jakości folią okleinową jest łatwa do utrzymania w czystości. Grubość: 4,2 cm. Szerokość: 25 cm. Długość: 156 cm.|budowac
8|https://images.obi.pl/product/PL/932x365/688159_1.jpg|Eurotaxpol Parapet świerk 182 cm x 30 cm x 2,7 cm|129.0|1|60|182.0|30.0|2.7|6.6|Parapet wewnętrzny świerk marki Eruotaxpol Jest to wysokiej klasy parapet wewnętrzny wykonany z drewna dębowego. Charakteryzuje się wytrzymałością i eleganckim wyglądem, swoje zastosowanie znajdzie w pomieszczeniach mieszkalnych i użyteczności publicznej. Powierzchnia jest bardzo łatwa w pielęgnacji i przyjemna w dotyku.|budowac
9|https://images.obi.pl/product/PL/932x365/689667_1.jpg,https://images.obi.pl/product/PL/932x365/689667_2.jpg,https://assets.obi.de/skin/a94dcb7/images/blind.gif|Parapet laminowany Piemonte 30 x 28 x 305 cm|73.99|1|4|2.8|3.05|30.0|16.5|Parapet wewnętrzny laminowany firmy Biuro Styl. Wykonany z płyty wiórowej pokrytej wysokociśnieniowym laminatem dekoracyjnym. Parapet posiada wysoką klasę wytrzymałości, jego klasyczny wygląd podkreśli elegancję pomieszczenia. Ponad to cechuje się łatwością w konserwacji.  Parapet docinany zgodnie z życzeniem klienta. Maksymalna długość: 305 cm|budowac
10|https://images.obi.pl/product/PL/932x365/557770_1.jpg|Parapet wewnętrzny PVC biały, 30 cm x 4,2 cm|109.0|1|38|2.98|30.0|4.2|2.48|Parapet wewnętrzny PVC, w kolorze białym. Charakteryzuje się odpornością na działanie wody, wysoką temperaturę oraz na promieniowanie UV. Powierzchnia pokryta wysokiej jakości folią okleinową jest łatwa do utrzymania w czystości. Grubość: 4,2 cm. Szerokość: 30 cm. Maksymalna długość: 298 cm.|budowac
11|https://images.obi.pl/product/PL/932x365/688159_1.jpg|Eurotaxpol Parapet świerk 122 cm x 30 cm x 2,7 cm|89.99|1|20|122.0|30.0|2.7|4.50|Parapet wewnętrzny świerk marki Eruotaxpol Jest to wysokiej klasy parapet wewnętrzny wykonany z drewna dębowego. Charakteryzuje się wytrzymałością i eleganckim wyglądem, swoje zastosowanie znajdzie w pomieszczeniach mieszkalnych i użyteczności publicznej. Powierzchnia jest bardzo łatwa w pielęgnacji i przyjemna w dotyku.|budowac
12|https://images.obi.pl/product/PL/932x365/530597_1.jpg,https://images.obi.pl/product/PL/932x365/530597_3.jpg|Contrio RHR Roleta Przyciemniająca Beżowy 78 cm x 118 cm|199.0|1|61|118.0|78.0|7.0|740||budowac
13|https://images.obi.pl/product/PL/932x365/661351_1.jpg|Knap Parapet granitowy Indy Black 92 cm x 30 cm x 2 cm|205.0|1|85|2.0|92.0|30.0|14.5|Parapet granitowy w kolorze Indy Black o wymiarach 92 cm x 30 cm x 2 cm, firmy Knap. Przeznaczony do montażu zarówno wewnątrz, jak i na zewnątrz pomieszczeń. Materiał, z którego został wykonany, zapewnia wyjątkową odporność na ścieranie i działanie czynników zewnętrznych. Grubość parapetu wynosi 20 mm +/- 2 mm wynikająca z charakteru obróbki materiału.|budowac
14|https://images.obi.pl/product/PL/932x365/434281_1.jpg,https://images.obi.pl/product/PL/932x365/434281_2.jpg,https://assets.obi.de/skin/a94dcb7/images/blind.gif|Vilo Nakładka parapetowa marmur, 200 cm x 38 cm x 5,5 cm|139.0|1|77|2.00|38.0|5.5|4.15|Nakładka na parapet PVC, w kolorze marmur, marki Vilo. Umożliwia w prosty sposób odnowienie starego parapetu. Jest estetyczna, trwała i łatwa do utrzymania w czystości. Grubość: 5,5 cm. Szerokość: 38 cm. Długość: 200 cm.|budowac
15|https://images.obi.pl/product/PL/932x365/688159_1.jpg|Eurotaxpol Parapet świerk 152 cm x 30 cm x 2,7 cm|109.0|1|40|152.0|30.0|2.7|5.4|Parapet wewnętrzny świerk marki Eruotaxpol Jest to wysokiej klasy parapet wewnętrzny wykonany z drewna dębowego. Charakteryzuje się wytrzymałością i eleganckim wyglądem, swoje zastosowanie znajdzie w pomieszczeniach mieszkalnych i użyteczności publicznej. Powierzchnia jest bardzo łatwa w pielęgnacji i przyjemna w dotyku.|budowac
16|https://images.obi.pl/product/PL/932x365/557770_1.jpg|Parapet wewnętrzny PVC biały, 186 cm x 25 cm x 4,2 cm|99.99|1|59|186.0|25.0|4.2|4.05|Parapet wewnętrzny PVC, w kolorze białym. Charakteryzuje się odpornością na działanie wody, wysoką temperaturę oraz na promieniowanie UV. Powierzchnia pokryta wysokiej jakości folią okleinową jest łatwa do utrzymania w czystości. Grubość: 4,2 cm.|budowac
